,,,,,,,
,380,164,493,493,,,
,371,159,500,500,,,
,414,181,489,489,,,
,503,194,468,468,,,
,564,200,474,474,,,
,576,214,490,490,,,
,604,175,545,545,,,
,634,191,529,529,,,
,601,203,517,517,,,
,566,172,481,481,,,
,518,170,475,475,,,
,460,154,491,491,,,
,426,143,489,489,,,
,382,146,501,501,,,
,387,184,459,459,,,
,426,245,388,388,,,
,431,270,365,365,,,
,414,266,361,361,,,
,360,262,359,359,,,
,340,259,360,360,,,
,329,261,349,349,,,
,354,252,354,354,,,
,387,251,348,348,,,
,419,250,355,355,,,
,478,261,364,364,,,
,513,268,378,378,,,
,554,289,364,364,,,
,571,290,376,376,,,
,567,299,366,366,,,
,562,307,358,358,,,
,543,298,367,367,,,
,519,305,374,374,,,
,517,298,368,368,,,
,521,298,362,362,,,
,524,289,356,356,,,
,537,288,351,351,,,
,537,304,336,336,,,
,505,320,327,327,,,
,502,315,330,330,,,
,499,321,320,320,,,
,496,324,321,321,,,
,514,313,330,330,,,
,528,301,331,331,,,
,534,301,339,339,,,
,561,295,336,336,,,
,566,294,333,333,,,
,568,295,333,333,,,
,565,292,335,335,,,
,565,296,335,335,,,
,513,121,487,487,,,
,511,120,490,490,,,
,515,118,491,491,,,
,510,119,488,488,,,
,513,118,488,488,,,
,510,119,484,484,,,
,483,122,491,491,,,
,476,118,498,498,,,
,479,119,495,495,,,
,490,123,492,492,,,
,559,138,466,466,,,
,619,160,435,435,,,
,657,176,409,409,,,
,660,173,426,426,,,
,683,164,460,460,,,
,691,160,477,477,,,
,632,164,441,441,,,
,565,146,473,473,,,
,488,125,505,505,,,
,452,128,507,507,,,
,438,131,501,501,,,
,424,148,491,491,,,
,416,152,487,487,,,
,406,164,470,470,,,
,400,183,454,454,,,
,391,177,459,459,,,
,401,143,490,490,,,
,407,147,482,482,,,
,418,184,442,442,,,
,422,203,425,425,,,
,441,217,407,407,,,
,451,227,393,393,,,
,470,212,402,402,,,
,474,196,417,417,,,
,459,206,435,435,,,
,456,200,431,431,,,
,472,169,439,439,,,
,516,159,442,442,,,
,526,153,451,451,,,
,540,139,458,458,,,
,584,152,437,437,,,
,628,164,424,424,,,
,639,163,438,438,,,
,644,164,437,437,,,
,645,162,447,447,,,
,641,173,425,425,,,
,597,159,450,450,,,
,546,147,460,460,,,
,528,154,462,462,,,
,511,143,471,471,,,
,478,134,481,481,,,
,447,143,463,463,,,
,421,161,454,454,,,
,404,171,444,444,,,
,393,178,435,435,,,
,377,184,430,430,,,
,356,163,451,451,,,
,339,142,476,476,,,
,386,127,493,493,,,
